id,modified,datasetID,institutionCode,basisOfRecord,occurrenceID,recordedBy,occurrenceStatus,eventDate,samplingProtocol,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,georeferenceProtocol,scientificNameID,scientificName,kingdom,taxonRank,vernacularName
USGS_RecordID_1_DenID_126,2022-03-06,USGS_ASC_PolarBearMaternalDens,USGS,HumanObservation,USGS_RecordID_1_DenID_126,USGS,present,1910,REPORT,70.0833,-149.1667,WGS84,926,map,urn:lsid:marinespecies.org:taxname:137085,Ursus maritimus,Animalia,species,polar bear
USGS_RecordID_2_DenID_127,2022-03-06,USGS_ASC_PolarBearMaternalDens,USGS,HumanObservation,USGS_RecordID_2_DenID_127,USGS,present,1910,REPORT,70.8333,-152.25,WGS84,926,map,urn:lsid:marinespecies.org:taxname:137085,Ursus maritimus,Animalia,species,polar bear
USGS_RecordID_3_DenID_128,2022-03-06,USGS_ASC_PolarBearMaternalDens,USGS,HumanObservation,USGS_RecordID_3_DenID_128,USGS,present,1913,REPORT,70.1667,-147.3333,WGS84,926,map,urn:lsid:marinespecies.org:taxname:137085,Ursus maritimus,Animalia,species,polar bear
USGS_RecordID_4_DenID_130,2022-03-06,USGS_ASC_PolarBearMaternalDens,USGS,HumanObservation,USGS_RecordID_4_DenID_130,USFWS,present,1988,REPORT,65.8,-167.7,WGS84,926,map,urn:lsid:marinespecies.org:taxname:137085,Ursus maritimus,Animalia,species,polar bear
USGS_RecordID_5_DenID_131,2022-03-06,USGS_ASC_PolarBearMaternalDens,USGS,HumanObservation,USGS_RecordID_5_DenID_131,USGS,present,1917,REPORT,70.2,-150.8333,WGS84,926,map,urn:lsid:marinespecies.org:taxname:137085,Ursus maritimus,Animalia,species,polar bear
USGS_RecordID_6_DenID_132,2022-03-06,USGS_ASC_PolarBearMaternalDens,USGS,HumanObservation,USGS_RecordID_6_DenID_132,USGS,present,1951,REPORT,70.1667,-143.6667,WGS84,926,map,urn:lsid:marinespecies.org:taxname:137085,Ursus maritimus,Animalia,species,polar bear
USGS_RecordID_7_DenID_133,2022-03-06,USGS_ASC_PolarBearMaternalDens,USGS,HumanObservation,USGS_RecordID_7_DenID_133,USGS,present,1957,REPORT,70.6662,-146.8394,WGS84,926,map,urn:lsid:marinespecies.org:taxname:137085,Ursus maritimus,Animalia,species,polar bear
USGS_RecordID_8_DenID_134,2022-03-06,USGS_ASC_PolarBearMaternalDens,USGS,HumanObservation,USGS_RecordID_8_DenID_134,USGS,present,1958,REPORT,70.5333,-149.8667,WGS84,926,map,urn:lsid:marinespecies.org:taxname:137085,Ursus maritimus,Animalia,species,polar bear
USGS_RecordID_9_DenID_135,2022-03-06,USGS_ASC_PolarBearMaternalDens,USGS,HumanObservation,USGS_RecordID_9_DenID_135,USGS,present,1967,REPORT,70.5,-148.0,WGS84,926,map,urn:lsid:marinespecies.org:taxname:137085,Ursus maritimus,Animalia,species,polar bear
USGS_RecordID_10_DenID_136,2022-03-06,USGS_ASC_PolarBearMaternalDens,USGS,HumanObservation,USGS_RecordID_10_DenID_136,USGS,present,1968,REPORT,71.5,-153.3333,WGS84,926,map,urn:lsid:marinespecies.org:taxname:137085,Ursus maritimus,Animalia,species,polar bear
USGS_RecordID_11_DenID_137,2022-03-06,USGS_ASC_PolarBearMaternalDens,USGS,HumanObservation,USGS_RecordID_11_DenID_137,USGS,present,1969,CONVENTIONAL,69.833,-144.1333,WGS84,926,map,urn:lsid:marinespecies.org:taxname:137085,Ursus maritimus,Animalia,species,polar bear
USGS_RecordID_12_DenID_138,2022-03-06,USGS_ASC_PolarBearMaternalDens,USGS,HumanObservation,USGS_RecordID_12_DenID_138,USGS,present,1970,REPORT,70.5333,-148.0,WGS84,926,map,urn:lsid:marinespecies.org:taxname:137085,Ursus maritimus,Animalia,species,polar bear
USGS_RecordID_13_DenID_139,2022-03-06,USGS_ASC_PolarBearMaternalDens,USGS,HumanObservation,USGS_RecordID_13_DenID_139,USGS,present,1972,REPORT,70.8333,-155.5,WGS84,926,map,urn:lsid:marinespecies.org:taxname:137085,Ursus maritimus,Animalia,species,polar bear
USGS_RecordID_14_DenID_140,2022-03-06,USGS_ASC_PolarBearMaternalDens,USGS,HumanObservation,USGS_RecordID_14_DenID_140,USGS,present,1972,REPORT,69.3,-167.0,WGS84,926,aircraft,urn:lsid:marinespecies.org:taxname:137085,Ursus maritimus,Animalia,species,polar bear
USGS_RecordID_15_DenID_141,2022-03-06,USGS_ASC_PolarBearMaternalDens,USGS,HumanObservation,USGS_RecordID_15_DenID_141,USGS,present,1972,REPORT,69.5,-168.0,WGS84,926,aircraft,urn:lsid:marinespecies.org:taxname:137085,Ursus maritimus,Animalia,species,polar bear
USGS_RecordID_16_DenID_142,2022-03-06,USGS_ASC_PolarBearMaternalDens,USGS,HumanObservation,USGS_RecordID_16_DenID_142,USGS,present,1972,REPORT,69.8333,-143.0,WGS84,926,map,urn:lsid:marinespecies.org:taxname:137085,Ursus maritimus,Animalia,species,polar bear
