id	measurementType	measurementValue	measurementMethod
"USGS_RecordID_1_DenID_126"	"An indicator of confidence that the observation was a polar bear maternal den"	"Confirmed"	"Den verified by on-site visits by personnel and/or subsequent observations of the adult with dependent young"
"USGS_RecordID_2_DenID_127"	"An indicator of confidence that the observation was a polar bear maternal den"	"Probable"	"Den with supporting information to indicate maternal denning (e.g., temperature, activity and signal quality of satellite telemetry data), but lacked a site visit or a subsequent observation of the adult with young"
"USGS_RecordID_3_DenID_128"	"An indicator of confidence that the observation was a polar bear maternal den"	"Confirmed"	"Den verified by on-site visits by personnel and/or subsequent observations of the adult with dependent young"
"USGS_RecordID_4_DenID_130"	"An indicator of confidence that the observation was a polar bear maternal den"	"Confirmed"	"Den verified by on-site visits by personnel and/or subsequent observations of the adult with dependent young"
"USGS_RecordID_5_DenID_131"	"An indicator of confidence that the observation was a polar bear maternal den"	"Probable"	"Den with supporting information to indicate maternal denning (e.g., temperature, activity and signal quality of satellite telemetry data), but lacked a site visit or a subsequent observation of the adult with young"
"USGS_RecordID_6_DenID_132"	"An indicator of confidence that the observation was a polar bear maternal den"	"Probable"	"Den with supporting information to indicate maternal denning (e.g., temperature, activity and signal quality of satellite telemetry data), but lacked a site visit or a subsequent observation of the adult with young"
"USGS_RecordID_7_DenID_133"	"An indicator of confidence that the observation was a polar bear maternal den"	"Probable"	"Den with supporting information to indicate maternal denning (e.g., temperature, activity and signal quality of satellite telemetry data), but lacked a site visit or a subsequent observation of the adult with young"
"USGS_RecordID_8_DenID_134"	"An indicator of confidence that the observation was a polar bear maternal den"	"Confirmed"	"Den verified by on-site visits by personnel and/or subsequent observations of the adult with dependent young"
"USGS_RecordID_9_DenID_135"	"An indicator of confidence that the observation was a polar bear maternal den"	"Probable"	"Den with supporting information to indicate maternal denning (e.g., temperature, activity and signal quality of satellite telemetry data), but lacked a site visit or a subsequent observation of the adult with young"
"USGS_RecordID_10_DenID_136"	"An indicator of confidence that the observation was a polar bear maternal den"	"Probable"	"Den with supporting information to indicate maternal denning (e.g., temperature, activity and signal quality of satellite telemetry data), but lacked a site visit or a subsequent observation of the adult with young"
"USGS_RecordID_11_DenID_137"	"An indicator of confidence that the observation was a polar bear maternal den"	"Confirmed"	"Den verified by on-site visits by personnel and/or subsequent observations of the adult with dependent young"
"USGS_RecordID_12_DenID_138"	"An indicator of confidence that the observation was a polar bear maternal den"	"Probable"	"Den with supporting information to indicate maternal denning (e.g., temperature, activity and signal quality of satellite telemetry data), but lacked a site visit or a subsequent observation of the adult with young"
"USGS_RecordID_13_DenID_139"	"An indicator of confidence that the observation was a polar bear maternal den"	"Confirmed"	"Den verified by on-site visits by personnel and/or subsequent observations of the adult with dependent young"
"USGS_RecordID_14_DenID_140"	"An indicator of confidence that the observation was a polar bear maternal den"	"Probable"	"Den with supporting information to indicate maternal denning (e.g., temperature, activity and signal quality of satellite telemetry data), but lacked a site visit or a subsequent observation of the adult with young"
"USGS_RecordID_15_DenID_141"	"An indicator of confidence that the observation was a polar bear maternal den"	"Probable"	"Den with supporting information to indicate maternal denning (e.g., temperature, activity and signal quality of satellite telemetry data), but lacked a site visit or a subsequent observation of the adult with young"
"USGS_RecordID_16_DenID_142"	"An indicator of confidence that the observation was a polar bear maternal den"	"Confirmed"	"Den verified by on-site visits by personnel and/or subsequent observations of the adult with dependent young"
"USGS_RecordID_17_DenID_143"	"An indicator of confidence that the observation was a polar bear maternal den"	"Confirmed"	"Den verified by on-site visits by personnel and/or subsequent observations of the adult with dependent young"
"USGS_RecordID_18_DenID_144"	"An indicator of confidence that the observation was a polar bear maternal den"	"Confirmed"	"Den verified by on-site visits by personnel and/or subsequent observations of the adult with dependent young"
"USGS_RecordID_19_DenID_147"	"An indicator of confidence that the observation was a polar bear maternal den"	"Confirmed"	"Den verified by on-site visits by personnel and/or subsequent observations of the adult with dependent young"
"USGS_RecordID_20_DenID_148"	"An indicator of confidence that the observation was a polar bear maternal den"	"Confirmed"	"Den verified by on-site visits by personnel and/or subsequent observations of the adult with dependent young"
"USGS_RecordID_21_DenID_150"	"An indicator of confidence that the observation was a polar bear maternal den"	"Confirmed"	"Den verified by on-site visits by personnel and/or subsequent observations of the adult with dependent young"
"USGS_RecordID_22_DenID_152"	"An indicator of confidence that the observation was a polar bear maternal den"	"Confirmed"	"Den verified by on-site visits by personnel and/or subsequent observations of the adult with dependent young"
"USGS_RecordID_23_DenID_153"	"An indicator of confidence that the observation was a polar bear maternal den"	"Confirmed"	"Den verified by on-site visits by personnel and/or subsequent observations of the adult with dependent young"
"USGS_RecordID_24_DenID_154"	"An indicator of confidence that the observation was a polar bear maternal den"	"Confirmed"	"Den verified by on-site visits by personnel and/or subsequent observations of the adult with dependent young"
"USGS_RecordID_25_DenID_155"	"An indicator of confidence that the observation was a polar bear maternal den"	"Probable"	"Den with supporting information to indicate maternal denning (e.g., temperature, activity and signal quality of satellite telemetry data), but lacked a site visit or a subsequent observation of the adult with young"
"USGS_RecordID_26_DenID_156"	"An indicator of confidence that the observation was a polar bear maternal den"	"Probable"	"Den with supporting information to indicate maternal denning (e.g., temperature, activity and signal quality of satellite telemetry data), but lacked a site visit or a subsequent observation of the adult with young"
"USGS_RecordID_27_DenID_157"	"An indicator of confidence that the observation was a polar bear maternal den"	"Confirmed"	"Den verified by on-site visits by personnel and/or subsequent observations of the adult with dependent young"
"USGS_RecordID_28_DenID_158"	"An indicator of confidence that the observation was a polar bear maternal den"	"Confirmed"	"Den verified by on-site visits by personnel and/or subsequent observations of the adult with dependent young"
"USGS_RecordID_29_DenID_161"	"An indicator of confidence that the observation was a polar bear maternal den"	"Confirmed"	"Den verified by on-site visits by personnel and/or subsequent observations of the adult with dependent young"
"USGS_RecordID_30_DenID_162"	"An indicator of confidence that the observation was a polar bear maternal den"	"Confirmed"	"Den verified by on-site visits by personnel and/or subsequent observations of the adult with dependent young"
"USGS_RecordID_31_DenID_163"	"An indicator of confidence that the observation was a polar bear maternal den"	"Confirmed"	"Den verified by on-site visits by personnel and/or subsequent observations of the adult with dependent young"
"USGS_RecordID_32_DenID_165"	"An indicator of confidence that the observation was a polar bear maternal den"	"Probable"	"Den with supporting information to indicate maternal denning (e.g., temperature, activity and signal quality of satellite telemetry data), but lacked a site visit or a subsequent observation of the adult with young"
"USGS_RecordID_33_DenID_166"	"An indicator of confidence that the observation was a polar bear maternal den"	"Confirmed"	"Den verified by on-site visits by personnel and/or subsequent observations of the adult with dependent young"
"USGS_RecordID_34_DenID_167"	"An indicator of confidence that the observation was a polar bear maternal den"	"Confirmed"	"Den verified by on-site visits by personnel and/or subsequent observations of the adult with dependent young"
"USGS_RecordID_35_DenID_168"	"An indicator of confidence that the observation was a polar bear maternal den"	"Probable"	"Den with supporting information to indicate maternal denning (e.g., temperature, activity and signal quality of satellite telemetry data), but lacked a site visit or a subsequent observation of the adult with young"
"USGS_RecordID_36_DenID_170"	"An indicator of confidence that the observation was a polar bear maternal den"	"Probable"	"Den with supporting information to indicate maternal denning (e.g., temperature, activity and signal quality of satellite telemetry data), but lacked a site visit or a subsequent observation of the adult with young"
"USGS_RecordID_37_DenID_173"	"An indicator of confidence that the observation was a polar bear maternal den"	"Confirmed"	"Den verified by on-site visits by personnel and/or subsequent observations of the adult with dependent young"
"USGS_RecordID_38_DenID_174"	"An indicator of confidence that the observation was a polar bear maternal den"	"Confirmed"	"Den verified by on-site visits by personnel and/or subsequent observations of the adult with dependent young"
"USGS_RecordID_39_DenID_177"	"An indicator of confidence that the observation was a polar bear maternal den"	"Probable"	"Den with supporting information to indicate maternal denning (e.g., temperature, activity and signal quality of satellite telemetry data), but lacked a site visit or a subsequent observation of the adult with young"
"USGS_RecordID_40_DenID_178"	"An indicator of confidence that the observation was a polar bear maternal den"	"Confirmed"	"Den verified by on-site visits by personnel and/or subsequent observations of the adult with dependent young"
"USGS_RecordID_41_DenID_179"	"An indicator of confidence that the observation was a polar bear maternal den"	"Probable"	"Den with supporting information to indicate maternal denning (e.g., temperature, activity and signal quality of satellite telemetry data), but lacked a site visit or a subsequent observation of the adult with young"
"USGS_RecordID_42_DenID_181"	"An indicator of confidence that the observation was a polar bear maternal den"	"Probable"	"Den with supporting information to indicate maternal denning (e.g., temperature, activity and signal quality of satellite telemetry data), but lacked a site visit or a subsequent observation of the adult with young"
"USGS_RecordID_43_DenID_183"	"An indicator of confidence that the observation was a polar bear maternal den"	"Confirmed"	"Den verified by on-site visits by personnel and/or subsequent observations of the adult with dependent young"
"USGS_RecordID_44_DenID_184"	"An indicator of confidence that the observation was a polar bear maternal den"	"Confirmed"	"Den verified by on-site visits by personnel and/or subsequent observations of the adult with dependent young"
"USGS_RecordID_45_DenID_186"	"An indicator of confidence that the observation was a polar bear maternal den"	"Confirmed"	"Den verified by on-site visits by personnel and/or subsequent observations of the adult with dependent young"
"USGS_RecordID_46_DenID_187"	"An indicator of confidence that the observation was a polar bear maternal den"	"Confirmed"	"Den verified by on-site visits by personnel and/or subsequent observations of the adult with dependent young"
"USGS_RecordID_47_DenID_188"	"An indicator of confidence that the observation was a polar bear maternal den"	"Confirmed"	"Den verified by on-site visits by personnel and/or subsequent observations of the adult with dependent young"
"USGS_RecordID_48_DenID_189"	"An indicator of confidence that the observation was a polar bear maternal den"	"Confirmed"	"Den verified by on-site visits by personnel and/or subsequent observations of the adult with dependent young"
"USGS_RecordID_49_DenID_190"	"An indicator of confidence that the observation was a polar bear maternal den"	"Confirmed"	"Den verified by on-site visits by personnel and/or subsequent observations of the adult with dependent young"
"USGS_RecordID_50_DenID_191"	"An indicator of confidence that the observation was a polar bear maternal den"	"Probable"	"Den with supporting information to indicate maternal denning (e.g., temperature, activity and signal quality of satellite telemetry data), but lacked a site visit or a subsequent observation of the adult with young"
"USGS_RecordID_51_DenID_196"	"An indicator of confidence that the observation was a polar bear maternal den"	"Confirmed"	"Den verified by on-site visits by personnel and/or subsequent observations of the adult with dependent young"
"USGS_RecordID_52_DenID_197"	"An indicator of confidence that the observation was a polar bear maternal den"	"Confirmed"	"Den verified by on-site visits by personnel and/or subsequent observations of the adult with dependent young"
"USGS_RecordID_53_DenID_199"	"An indicator of confidence that the observation was a polar bear maternal den"	"Probable"	"Den with supporting information to indicate maternal denning (e.g., temperature, activity and signal quality of satellite telemetry data), but lacked a site visit or a subsequent observation of the adult with young"
