decimalLatitude,decimalLongitude,vernacularName
60.63955,-145.898217,northern sea otter
60.637,-145.925,northern sea otter
60.646,-145.896,northern sea otter
60.6263,-145.9263,northern sea otter
60.627,-145.936,northern sea otter
60.647617,-145.905683,northern sea otter
60.647617,-145.905683,northern sea otter
60.647617,-145.905683,northern sea otter
60.646,-145.921,northern sea otter
60.628,-145.871,northern sea otter
60.647,-145.919,northern sea otter
60.643,-145.891,northern sea otter
60.649,-145.885,northern sea otter
60.646,-145.92,northern sea otter
60.644833,-145.914717,northern sea otter
60.651,-145.923,northern sea otter
60.631717,-145.915367,northern sea otter
60.636,-145.911,northern sea otter
60.6403,-145.918133,northern sea otter
60.638917,-145.898217,northern sea otter
60.65,-145.888,northern sea otter
60.6395,-145.8983,northern sea otter
60.636,-145.931,northern sea otter
60.638717,-145.895633,northern sea otter
60.648,-145.924,northern sea otter
60.635,-145.898,northern sea otter
60.641,-145.916,northern sea otter
60.638,-145.899,northern sea otter
60.645,-145.92,northern sea otter
60.651,-145.902,northern sea otter
60.639,-145.887,northern sea otter
60.633,-145.938,northern sea otter
60.627,-145.864,northern sea otter
60.636783,-145.844217,northern sea otter
60.630733,-145.87475,northern sea otter
60.629,-145.908,northern sea otter
60.629,-145.868,northern sea otter
60.628,-145.932,northern sea otter
60.633,-145.863,northern sea otter
60.638717,-145.902483,northern sea otter
60.64325,-145.9177,northern sea otter
60.6403,-145.9035,northern sea otter
60.6403,-145.9035,northern sea otter
60.6403,-145.9035,northern sea otter
60.632,-145.933,northern sea otter
60.62935,-145.863167,northern sea otter
60.675367,-145.87285,northern sea otter
60.629,-145.875,northern sea otter
60.642333,-145.917,northern sea otter
60.629,-145.937,northern sea otter
60.629,-145.937,northern sea otter
60.636533,-145.84885,northern sea otter
60.644833,-145.91475,northern sea otter
60.629,-145.887,northern sea otter
60.639,-145.848,northern sea otter
60.639,-145.848,northern sea otter
60.632067,-145.908833,northern sea otter
60.64,-145.889,northern sea otter
60.6402,-145.892067,northern sea otter
60.642,-145.893,northern sea otter
60.642,-145.893,northern sea otter
60.634167,-145.913,northern sea otter
60.65,-145.883,northern sea otter
60.629183,-145.910133,northern sea otter
60.63265,-145.909267,northern sea otter
60.642,-145.916,northern sea otter
60.638,-145.894,northern sea otter
60.628,-145.876,northern sea otter
60.628,-145.876,northern sea otter
60.63,-145.866,northern sea otter
60.631,-145.862,northern sea otter
60.637,-145.868,northern sea otter
60.621767,-145.907417,northern sea otter
60.645,-145.92,northern sea otter
60.63215,-145.908783,northern sea otter
60.648,-145.911,northern sea otter
60.6389,-145.902067,northern sea otter
60.6375,-145.89315,northern sea otter
60.648017,-145.886183,northern sea otter
60.643517,-145.91885,northern sea otter
60.643517,-145.91885,northern sea otter
60.639817,-145.9041,northern sea otter
60.628,-145.916,northern sea otter
60.641817,-145.909183,northern sea otter
60.63,-145.938,northern sea otter
60.639,-145.926,northern sea otter
60.647,-145.887,northern sea otter
60.63055,-145.870517,northern sea otter
60.6405,-145.917833,northern sea otter
60.640133,-145.898483,northern sea otter
60.640133,-145.898483,northern sea otter
60.638,-145.847,northern sea otter
60.64,-145.845083,northern sea otter
60.634,-145.923,northern sea otter
60.632,-145.866,northern sea otter
